"","City","lon","lat"
"1","москва",37.617778,55.755833
"2","рим",12.5,41.9
"3","париж",2.333333,48.833333
"4","санкт-петербург",30.316667,59.95
"5","берлин",13.383333,52.516667
"6","киев",30.523415,50.450091
"7","стамбул",28.960278,41.01
"8","троя",26.238475,39.957242
"9","афины",23.716667,38
"10","лондон",-0.1275,51.507222
"11","вавилон",44.423333,32.541667
"12","варшава",21.033333,52.216667
"13","рига",24.106944,56.9475
"14","прага",14.421389,50.088611
"15","венеция",12.316667,45.433333
"16","тула",37.616667,54.2
"17","нью-йорк",-73.994167,40.728333
"18","полтава",34.568611,49.574444
"19","одесса",30.727778,46.486111
"20","казань",49.114444,55.790833
"21","рязань",39.716667,54.616667
"22","иерусалим",35.233333,31.783333
"23","неаполь",14.25,40.833333
"24","ницца",7.271389,43.695833
"25","севастополь",33.533333,44.6
"26","мадрид",-3.683333,40.4
"27","псков",28.333333,57.816667
"28","вифлеем",35.206111,31.704444
"29","баку",49.835183,40.366656
"30","флоренция",11.25,43.783333
"31","ростов",39.416667,57.183333
"32","бостон",-71.061667,42.357778
"33","харьков",36.229167,50
"34","кронштадт",29.766667,60
"35","назарет",35.29785,32.702103
"36","калуга",36.266667,54.533333
"37","кострома",40.933333,57.766667
"38","багдад",44.416667,33.35
"39","валдай",33.25,57.966667
"40","тамбов",41.433333,52.716667
"41","мекка",39.826111,21.4225
"42","генуя",8.933333,44.416667
"43","углич",38.333333,57.533333
"44","измаил",28.833333,45.35
"45","львов",24,49.833333
"46","каир",31.239444,30.056111
"47","коринф",22.933333,37.933333
"48","владивосток",131.9,43.116667
"49","саратов",46,51.533333
"50","очаков",31.539167,46.618611
"51","тверь",35.921928,56.857828
"52","ялта",34.155278,44.499444
"53","смоленск",32.045278,54.782778
"54","севилья",-5.983333,37.383333
"55","коломна",38.768056,55.093889
"56","дамаск",36.3,33.5
"57","александрия",29.916667,31.2
"58","самара",50.116667,53.183333
"59","астрахань",48.033333,46.333333
"60","краснобай",55.185189,59.833539
"61","архангельск",40.533333,64.55
"62","белград",20.466667,44.816667
"63","омск",73.383333,54.966667
"64","воронеж",39.210556,51.671667
"65","марсель",5.37,43.296389
"66","нарым",81.596111,58.927778
"67","шираз",52.516667,29.6
"68","ташкент",69.266667,41.3
"69","путивль",33.868636,51.334703
"70","вологда",39.9,59.216667
"71","брест",23.666667,52.133333
"72","бахчисарай",33.860833,44.752778
"73","нарва",28.183333,59.366667
"74","краков",19.95,50.066667
"75","амстердам",4.9,52.383333
"76","сочи",39.720278,43.585278
"77","чикаго",-87.65,41.9
"78","азов",39.416667,47.1
"79","петергоф",29.9,59.883333
"80","тарту",26.716667,58.366667
"81","керчь",36.468056,45.338611
"82","вязьма",34.285,55.210278
"83","павлодар",76.956389,52.315556
"84","арзамас",43.8,55.383333
"85","пергам",27.18357,39.13256
"86","гамбург",10,53.55
"87","шуя",41.366667,56.85
"88","курск",36.183333,51.716667
"89","бельмес",-5.208611,38.272222
"90","милан",9.166667,45.466667
"91","бордо",-0.578333,44.838611
"92","женева",6.15,46.2
"93","ярославль",39.85,57.616667
"94","стокгольм",18.066667,59.333333
"95","бухара",64.428611,39.774722
"96","пекин",116.4,39.933333
"97","уфа",55.966667,54.733333
"98","равенна",12.2,44.416667
"99","житомир",28.657778,50.254444
"100","пермь",56.248889,58.013889
"101","самарканд",66.959722,39.654167
"102","тегеран",51.416667,35.7
"103","таллин",24.75,59.433333
"104","иркутск",104.3,52.283333
"105","шанхай",121.466667,31.166667
"106","пенза",45,53.2
"107","хотин",26.491944,48.509444
"108","гатчина",30.133333,59.566667
"109","пятигорск",43.060055,44.049966
"110","чита",113.5,52.033333
"111","вашингтон",-77.036667,38.895
"112","толедо",-4.033333,39.866667
"113","пиза",10.4,43.716667
"114","саров",43.316667,54.933333
"115","дельфы",22.5,38.483333
"116","минск",27.55,53.916667
"117","чухлома",42.7,58.75
"118","брюссель",4.3525,50.846667
"119","пирей",23.633333,37.966667
"120","дрезден",13.733333,51.033333
"121","суздаль",40.448889,56.421111
"122","херсон",32.6,46.633333
"123","ржев",34.327569,56.265583
"124","верона",10.983333,45.433333
"125","барсовый",131.640278,43.179167
"126","лиссабон",-9.166667,38.716667
"127","запорожье",35.138333,47.837778
"128","коктебель",35.240278,44.959722
"129","бендеры",29.471111,46.830556
"130","тамань",36.716667,45.216667
"131","тюмень",65.533333,57.15
"132","муром",42.051389,55.5725
